"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Brust 4","27 Juli 2026, 06:30","27 Juli 2026, 08:02","","Laufband",,"",0,"normal",,,2.2,1200,
"Brust 4","27 Juli 2026, 06:30","27 Juli 2026, 08:02","","Gym80 Brustmaschine 4328",,"",0,"warmup",40,15,,,
"Brust 4","27 Juli 2026, 06:30","27 Juli 2026, 08:02","","Gym80 Brustmaschine 4328",,"",1,"normal",50,7,,,
"Brust 4","27 Juli 2026, 06:30","27 Juli 2026, 08:02","","Gym80 Brustmaschine 4328",,"",2,"normal",50,6,,,
"Brust 4","27 Juli 2026, 06:30","27 Juli 2026, 08:02","","Gym80 Brustmaschine 4328",,"",3,"normal",50,5,,,
"Brust 4","27 Juli 2026, 06:30","27 Juli 2026, 08:02","","Schräge Brustpresse (Maschine)",,"",0,"warmup",45,15,,,
"Brust 4","27 Juli 2026, 06:30","27 Juli 2026, 08:02","","Schräge Brustpresse (Maschine)",,"",1,"normal",80,7,,,
"Brust 4","27 Juli 2026, 06:30","27 Juli 2026, 08:02","","Schräge Brustpresse (Maschine)",,"",2,"normal",80,6,,,
"Brust 4","27 Juli 2026, 06:30","27 Juli 2026, 08:02","","Schräge Brustpresse (Maschine)",,"",3,"normal",80,4,,,
"Brust 4","27 Juli 2026, 06:30","27 Juli 2026, 08:02","","Fliegende (Maschine)",,"",0,"normal",100,7,,,
"Brust 4","27 Juli 2026, 06:30","27 Juli 2026, 08:02","","Fliegende (Maschine)",,"",1,"normal",100,6,,,
"Brust 4","27 Juli 2026, 06:30","27 Juli 2026, 08:02","","Fliegende (Maschine)",,"",2,"normal",100,5,,,
"Brust 4","27 Juli 2026, 06:30","27 Juli 2026, 08:02","","Preacher Curl (Maschine)",,"",0,"normal",70,7,,,
"Brust 4","27 Juli 2026, 06:30","27 Juli 2026, 08:02","","Preacher Curl (Maschine)",,"",1,"normal",70,6,,,
"Brust 4","27 Juli 2026, 06:30","27 Juli 2026, 08:02","","Bizepscurl (Kurzhantel)",,"",0,"normal",24,5,,,
"Brust 4","27 Juli 2026, 06:30","27 Juli 2026, 08:02","","Bizepscurl (Kurzhantel)",,"",1,"normal",24,5,,,
"Brust 4","27 Juli 2026, 06:30","27 Juli 2026, 08:02","","Bizepscurl (Kurzhantel)",,"",2,"normal",24,4,,,
"Brust 4","27 Juli 2026, 06:30","27 Juli 2026, 08:02","","Trizepsdrücken",,"",0,"normal",45,8,,,
"Brust 4","27 Juli 2026, 06:30","27 Juli 2026, 08:02","","Trizepsdrücken",,"",1,"normal",45,8,,,
"Brust 4","27 Juli 2026, 06:30","27 Juli 2026, 08:02","","Trizepsdrücken",,"",2,"normal",45,7,,,
"Brust 4","27 Juli 2026, 06:30","27 Juli 2026, 08:02","","Schulterheben (Kurzhantel)",,"",0,"normal",24,20,,,
"Brust 4","27 Juli 2026, 06:30","27 Juli 2026, 08:02","","Schulterheben (Kurzhantel)",,"",1,"normal",24,17,,,
"Brust 4","27 Juli 2026, 06:30","27 Juli 2026, 08:02","","Schulterheben (Kurzhantel)",,"",2,"normal",24,15,,,
"Brust 4","27 Juli 2026, 06:30","27 Juli 2026, 08:02","","Gym80 Bauchmuskelmaschine 3037",,"",0,"normal",65,15,,,
"Brust 4","27 Juli 2026, 06:30","27 Juli 2026, 08:02","","Gym80 Bauchmuskelmaschine 3037",,"",1,"normal",65,15,,,
"Brust 4","27 Juli 2026, 06:30","27 Juli 2026, 08:02","","Gym80 Bauchmuskelmaschine 3037",,"",2,"normal",65,15,,,
"Brust 4","27 Juli 2026, 06:30","27 Juli 2026, 08:02","","Side Bend (Kurzhantel) ",,"",0,"normal",30,20,,,
"Brust 4","27 Juli 2026, 06:30","27 Juli 2026, 08:02","","Side Bend (Kurzhantel) ",,"",1,"normal",30,15,,,
"Brust 4","27 Juli 2026, 06:30","27 Juli 2026, 08:02","","Side Bend (Kurzhantel) ",,"",2,"normal",30,15,,,
"Brust 4","27 Juli 2026, 06:30","27 Juli 2026, 08:02","","Sägezahnmuskel",,"",0,"normal",25,20,,,
"Brust 4","27 Juli 2026, 06:30","27 Juli 2026, 08:02","","Sägezahnmuskel",,"",1,"normal",25,20,,,
"Brust 4","27 Juli 2026, 06:30","27 Juli 2026, 08:02","","Sägezahnmuskel",,"",2,"normal",25,17,,,
"Rücken 3","24 Juli 2026, 05:59","24 Juli 2026, 07:10","","Laufband",,"",0,"normal",,,1.75,900,
"Rücken 3","24 Juli 2026, 05:59","24 Juli 2026, 07:10","","Latzug (Kabel)",,"",0,"warmup",75,15,,,
"Rücken 3","24 Juli 2026, 05:59","24 Juli 2026, 07:10","","Latzug (Kabel)",,"",1,"normal",115,7,,,
"Rücken 3","24 Juli 2026, 05:59","24 Juli 2026, 07:10","","Latzug (Kabel)",,"",2,"normal",115,6,,,
"Rücken 3","24 Juli 2026, 05:59","24 Juli 2026, 07:10","","Latzug (Kabel)",,"",3,"normal",115,5,,,
"Rücken 3","24 Juli 2026, 05:59","24 Juli 2026, 07:10","","Iso-Laterales Rudern von oben",,"",0,"normal",65,9,,,
"Rücken 3","24 Juli 2026, 05:59","24 Juli 2026, 07:10","","Iso-Laterales Rudern von oben",,"",1,"normal",65,7,,,
"Rücken 3","24 Juli 2026, 05:59","24 Juli 2026, 07:10","","Iso-Laterales Rudern von oben",,"",2,"normal",65,6,,,
"Rücken 3","24 Juli 2026, 05:59","24 Juli 2026, 07:10","","Sitzendes Rudern - Weiter Griff",,"",0,"warmup",45,15,,,
"Rücken 3","24 Juli 2026, 05:59","24 Juli 2026, 07:10","","Sitzendes Rudern - Weiter Griff",,"",1,"normal",60,15,,,
"Rücken 3","24 Juli 2026, 05:59","24 Juli 2026, 07:10","","Sitzendes Rudern - Weiter Griff",,"",2,"normal",60,15,,,
"Rücken 3","24 Juli 2026, 05:59","24 Juli 2026, 07:10","","Sitzendes Rudern - Weiter Griff",,"",3,"normal",60,12,,,
"Rücken 3","24 Juli 2026, 05:59","24 Juli 2026, 07:10","","Reverse Fliegende (Maschine)",,"",0,"normal",80,7,,,
"Rücken 3","24 Juli 2026, 05:59","24 Juli 2026, 07:10","","Reverse Fliegende (Maschine)",,"",1,"normal",80,7,,,
"Rücken 3","24 Juli 2026, 05:59","24 Juli 2026, 07:10","","Reverse Fliegende (Maschine)",,"",2,"normal",80,6,,,
"Rücken 3","24 Juli 2026, 05:59","24 Juli 2026, 07:10","","Seitheben (Maschine)",,"",0,"warmup",45,15,,,
"Rücken 3","24 Juli 2026, 05:59","24 Juli 2026, 07:10","","Seitheben (Maschine)",,"",1,"normal",65,8,,,
"Rücken 3","24 Juli 2026, 05:59","24 Juli 2026, 07:10","","Seitheben (Maschine)",,"",2,"normal",65,8,,,
"Rücken 3","24 Juli 2026, 05:59","24 Juli 2026, 07:10","","Seitheben (Maschine)",,"",3,"normal",65,7,,,
"Rücken 3","24 Juli 2026, 05:59","24 Juli 2026, 07:10","","Russian Twist (Gewichtet)",,"",0,"normal",15,30,,,
"Rücken 3","24 Juli 2026, 05:59","24 Juli 2026, 07:10","","Russian Twist (Gewichtet)",,"",1,"normal",15,25,,,
"Rücken 3","24 Juli 2026, 05:59","24 Juli 2026, 07:10","","Russian Twist (Gewichtet)",,"",2,"normal",15,25,,,
"Rücken 3","24 Juli 2026, 05:59","24 Juli 2026, 07:10","","Hyperextension (Gewichtet)",,"",0,"normal",24,20,,,
"Rücken 3","24 Juli 2026, 05:59","24 Juli 2026, 07:10","","Hyperextension (Gewichtet)",,"",1,"normal",24,15,,,
"Rücken 3","24 Juli 2026, 05:59","24 Juli 2026, 07:10","","Rückenstrecken (Maschine)",,"",0,"normal",105,15,,,
"Rücken 3","24 Juli 2026, 05:59","24 Juli 2026, 07:10","","Rückenstrecken (Maschine)",,"",1,"normal",105,15,,,
"Brust 4","23 Juli 2026, 15:50","23 Juli 2026, 17:20","","Laufband",,"",0,"normal",,,1.25,600,
"Brust 4","23 Juli 2026, 15:50","23 Juli 2026, 17:20","","Gym80 Brustmaschine 4328",,"",0,"warmup",40,15,,,
"Brust 4","23 Juli 2026, 15:50","23 Juli 2026, 17:20","","Gym80 Brustmaschine 4328",,"",1,"normal",50,7,,,
"Brust 4","23 Juli 2026, 15:50","23 Juli 2026, 17:20","","Gym80 Brustmaschine 4328",,"",2,"normal",50,6,,,
"Brust 4","23 Juli 2026, 15:50","23 Juli 2026, 17:20","","Gym80 Brustmaschine 4328",,"",3,"normal",50,4,,,
"Brust 4","23 Juli 2026, 15:50","23 Juli 2026, 17:20","","Schräge Brustpresse (Maschine)",,"",0,"warmup",45,15,,,
"Brust 4","23 Juli 2026, 15:50","23 Juli 2026, 17:20","","Schräge Brustpresse (Maschine)",,"",1,"normal",80,6,,,
"Brust 4","23 Juli 2026, 15:50","23 Juli 2026, 17:20","","Schräge Brustpresse (Maschine)",,"",2,"normal",80,6,,,
"Brust 4","23 Juli 2026, 15:50","23 Juli 2026, 17:20","","Schräge Brustpresse (Maschine)",,"",3,"normal",80,6,,,
"Brust 4","23 Juli 2026, 15:50","23 Juli 2026, 17:20","","Gym80 Brustmaschine 3014",,"",0,"normal",80,15,,,
"Brust 4","23 Juli 2026, 15:50","23 Juli 2026, 17:20","","Gym80 Brustmaschine 3014",,"",1,"normal",80,13,,,
"Brust 4","23 Juli 2026, 15:50","23 Juli 2026, 17:20","","Gym80 Brustmaschine 3014",,"",2,"normal",80,12,,,
"Brust 4","23 Juli 2026, 15:50","23 Juli 2026, 17:20","","Preacher Curl (Maschine)",,"",0,"normal",70,7,,,
"Brust 4","23 Juli 2026, 15:50","23 Juli 2026, 17:20","","Preacher Curl (Maschine)",,"",1,"normal",70,6,,,
"Brust 4","23 Juli 2026, 15:50","23 Juli 2026, 17:20","","Bizepscurl (Kurzhantel)",,"",0,"normal",24,5,,,
"Brust 4","23 Juli 2026, 15:50","23 Juli 2026, 17:20","","Bizepscurl (Kurzhantel)",,"",1,"normal",24,4,,,
